id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
2385,EGAA,large_airport,Belfast International Airport,54.65750122,-6.215829849,268,EU,GB,GB-NIR,Belfast,yes,EGAA,BFS,,http://www.belfastairport.com/,https://en.wikipedia.org/wiki/Belfast_International_Airport,"Aldergrove, RAF Aldergrove"
2387,EGAC,large_airport,George Best Belfast City Airport,54.61809921,-5.872499943,15,EU,GB,GB-NIR,Belfast,yes,EGAC,BHD,,http://www.belfastcityairport.com/,https://en.wikipedia.org/wiki/George_Best_Belfast_City_Airport,
2389,EGBB,large_airport,Birmingham International Airport,52.45389938,-1.748029947,327,EU,GB,GB-ENG,Birmingham,yes,EGBB,BHX,,http://www.bhx.co.uk/,https://en.wikipedia.org/wiki/Birmingham_International_Airport_(United_Kingdom),
2398,EGCC,large_airport,Manchester Airport,53.35369873,-2.274950027,257,EU,GB,GB-ENG,Manchester,yes,EGCC,MAN,,http://www.manchesterairport.co.uk/,https://en.wikipedia.org/wiki/Manchester_Airport,"Ringway Airport, RAF Ringway"
2401,EGCN,large_airport,Robin Hood Doncaster Sheffield Airport,53.48053781,-1.010656357,55,EU,GB,GB-ENG,Doncaster,yes,EGCN,DSA,,http://www.robinhoodairport.com/,https://en.wikipedia.org/wiki/Robin_Hood_Airport_Doncaster_Sheffield,RAF Finningley
2415,EGFF,large_airport,Cardiff International Airport,51.39670181,-3.343329906,220,EU,GB,GB-WLS,Cardiff,yes,EGFF,CWL,,http://www.cwlfly.com/,https://en.wikipedia.org/wiki/Cardiff_International_Airport,Rhoose
2417,EGGD,large_airport,Bristol Airport,51.382702,-2.71909,622,EU,GB,GB-ENG,Bristol,yes,EGGD,BRS,,http://www.bristolairport.co.uk/,https://en.wikipedia.org/wiki/Bristol_International_Airport,Lulsgate Bottom
2418,EGGP,large_airport,Liverpool John Lennon Airport,53.33359909,-2.849720001,80,EU,GB,GB-ENG,Liverpool,yes,EGGP,LPL,,http://www.liverpoolairport.com/,https://en.wikipedia.org/wiki/Liverpool_John_Lennon_Airport,
2419,EGGW,large_airport,London Luton Airport,51.87469864,-0.368333012,526,EU,GB,GB-ENG,London,yes,EGGW,LTN,,http://www.london-luton.co.uk/en/,https://en.wikipedia.org/wiki/London_Luton_Airport,LON
2421,EGHH,large_airport,Bournemouth Airport,50.77999878,-1.842499971,38,EU,GB,GB-ENG,Bournemouth,yes,EGHH,BOH,,http://www.bournemouthairport.com/,https://en.wikipedia.org/wiki/Bournemouth_Airport,RAF Hurn
2422,EGHI,large_airport,Southampton Airport,50.95029831,-1.35679996,44,EU,GB,GB-ENG,Southampton,yes,EGHI,SOU,,http://www.southamptonairport.com/,https://en.wikipedia.org/wiki/Southampton_Airport,"RAF Eastleigh, RAF Southampton"
2429,EGKK,large_airport,London Gatwick Airport,51.148102,-0.190278,202,EU,GB,GB-ENG,London,yes,EGKK,LGW,,http://www.gatwickairport.com/,https://en.wikipedia.org/wiki/Gatwick_Airport,"LON, Crawley, Charlwood"
2434,EGLL,large_airport,London Heathrow Airport,51.4706,-0.461941,83,EU,GB,GB-ENG,London,yes,EGLL,LHR,,http://www.heathrowairport.com/,https://en.wikipedia.org/wiki/Heathrow_Airport,"LON, Londres"
2444,EGNM,large_airport,Leeds Bradford Airport,53.86589813,-1.660570025,681,EU,GB,GB-ENG,Leeds,yes,EGNM,LBA,,http://www.lbia.co.uk/,https://en.wikipedia.org/wiki/Leeds_Bradford_International_Airport,
2448,EGNT,large_airport,Newcastle Airport,55.03749847,-1.691669941,266,EU,GB,GB-ENG,Newcastle,yes,EGNT,NCL,,http://www.newcastleairport.com/,https://en.wikipedia.org/wiki/Newcastle_Airport,
2450,EGNX,large_airport,East Midlands Airport,52.83110046,-1.328060031,306,EU,GB,GB-ENG,Nottingham,yes,EGNX,EMA,,http://www.eastmidlandsairport.com/,https://en.wikipedia.org/wiki/East_Midlands_Airport,RAF Castle Donington
2459,EGPD,large_airport,Aberdeen Dyce Airport,57.20190048,-2.197779894,215,EU,GB,GB-SCT,Aberdeen,yes,EGPD,ABZ,,http://www.aberdeenairport.com/,https://en.wikipedia.org/wiki/Aberdeen_Airport,
2461,EGPF,large_airport,Glasgow International Airport,55.871899,-4.43306,26,EU,GB,GB-SCT,Glasgow,yes,EGPF,GLA,,http://www.glasgowairport.com/,https://en.wikipedia.org/wiki/Glasgow_International_Airport,"Port-adhair Eadar-nàiseanta Ghlaschu, RAF Abbotsinch, RAF Ayr"
2462,EGPH,large_airport,Edinburgh Airport,55.95000076,-3.372499943,135,EU,GB,GB-SCT,Edinburgh,yes,EGPH,EDI,,http://www.edinburghairport.com/,https://en.wikipedia.org/wiki/Edinburgh_Airport,
2475,EGSH,large_airport,Norwich International Airport,52.67580032,1.282780051,117,EU,GB,GB-ENG,Norwich,yes,EGSH,NWI,,http://www.norwichairport.co.uk/,https://en.wikipedia.org/wiki/Norwich_International_Airport,RAF Horsham St Faith
2476,EGSS,large_airport,London Stansted Airport,51.88499832,0.234999999,348,EU,GB,GB-ENG,London,yes,EGSS,STN,,http://www.stanstedairport.com/,https://en.wikipedia.org/wiki/London_Stansted_Airport,LON
2481,EGTE,large_airport,Exeter International Airport,50.7344017,-3.413889885,102,EU,GB,GB-ENG,Exeter,yes,EGTE,EXT,,http://www.exeter-airport.co.uk/,https://en.wikipedia.org/wiki/Exeter_International_Airport,
2487,EGUL,large_airport,RAF Lakenheath,52.40930176,0.56099999,32,EU,GB,GB-ENG,Lakenheath,no,EGUL,LKZ,,http://www.lakenheath.af.mil/,https://en.wikipedia.org/wiki/RAF_Lakenheath,
2488,EGUN,large_airport,RAF Mildenhall,52.36190033,0.486405998,33,EU,GB,GB-ENG,Mildenhall,no,EGUN,MHZ,,http://www.mildenhall.af.mil/,https://en.wikipedia.org/wiki/RAF_Mildenhall,
2493,EGVN,large_airport,RAF Brize Norton,51.75,-1.58362,288,EU,GB,GB-ENG,Brize Norton,yes,EGVN,BZZ,,http://www.raf.mod.uk/rafbrizenorton/passengers/,https://en.wikipedia.org/wiki/RAF_Brize_Norton,Royal Air Force
2513,EHAM,large_airport,Amsterdam Airport Schiphol,52.308601,4.76389,-11,EU,NL,NL-NH,Amsterdam,yes,EHAM,AMS,,http://www.schiphol.nl/,https://en.wikipedia.org/wiki/Amsterdam_Airport_Schiphol,
2518,EHEH,large_airport,Eindhoven Airport,51.45009995,5.374529839,74,EU,NL,NL-NB,Eindhoven,yes,EHEH,EIN,,http://www.eindhovenairport.nl/,https://en.wikipedia.org/wiki/Eindhoven_Airport,Welschap Airport
2530,EICK,large_airport,Cork Airport,51.84130096,-8.491109848,502,EU,IE,IE-C,Cork,yes,EICK,ORK,,http://www.corkairport.com/,https://en.wikipedia.org/wiki/Cork_Airport,Aerfort Chorcaí
2533,EIDW,large_airport,Dublin Airport,53.421299,-6.27007,242,EU,IE,IE-D,Dublin,yes,EIDW,DUB,,http://www.dublinairport.com/,https://en.wikipedia.org/wiki/Dublin_Airport,Aerfort Bhaile Átha Cliath
2537,EINN,large_airport,Shannon Airport,52.702,-8.92482,46,EU,IE,IE-CE,Shannon,yes,EINN,SNN,,http://www.shannonairport.com/,https://en.wikipedia.org/wiki/Shannon_Airport,
2541,EKBI,large_airport,Billund Airport,55.74029922,9.151780128,247,EU,DK,DK-83,Billund,yes,EKBI,BLL,,http://www.billund-airport.dk/?sc_lang=en,https://en.wikipedia.org/wiki/Billund_Airport,
2542,EKCH,large_airport,Copenhagen Kastrup Airport,55.61790085,12.65600014,17,EU,DK,DK-84,Copenhagen,yes,EKCH,CPH,,http://www.cph.dk/en/,https://en.wikipedia.org/wiki/Copenhagen_Airport,"København, Malmö"
2562,EKYT,large_airport,Aalborg Airport,57.09275891,9.849243164,10,EU,DK,DK-81,Aalborg,yes,EKYT,AAL,,http://www.aal.dk,https://en.wikipedia.org/wiki/Aalborg_Airport,
2563,ELLX,large_airport,Luxembourg-Findel International Airport,49.6233333,6.2044444,1234,EU,LU,LU-L,Luxembourg,yes,ELLX,LUX,,http://www.lux-airport.lu/en/,https://en.wikipedia.org/wiki/Luxembourg-Findel_International_Airport,
2569,ENBO,large_airport,Bodø Airport,67.26920319,14.36530018,42,EU,NO,NO-18,Bodø,yes,ENBO,BOO,,http://www.avinor.no/en/airport/bodo/frontpage,https://en.wikipedia.org/wiki/Bod%C3%B8_Airport,"Bodø Air Force Base, Bodø Main Air Station"
2570,ENBR,large_airport,Bergen Airport Flesland,60.29339981,5.218140125,170,EU,NO,NO-12,Bergen,yes,ENBR,BGO,,http://www.avinor.no/en/airport/bergen,https://en.wikipedia.org/wiki/Bergen_Airport%2C_Flesland,
2578,ENGM,large_airport,Oslo Gardermoen Airport,60.19390106,11.10039997,681,EU,NO,NO-02,Oslo,yes,ENGM,OSL,,https://avinor.no/en/airport/oslo-airport,"https://en.wikipedia.org/wiki/Oslo_Airport,_Gardermoen",
2599,ENTC,large_airport,Tromsø Airport,69.6832962,18.91889954,31,EU,NO,NO-19,Tromsø,yes,ENTC,TOS,,http://www.avinor.no/en/airport/tromso,https://en.wikipedia.org/wiki/Troms%C3%B8_Airport,"Langnes, Tromsøya, Tromso"
2601,ENVA,large_airport,Trondheim Airport Værnes,63.4578018,10.9239998,56,EU,NO,NO-17,Trondheim,yes,ENVA,TRD,,https://avinor.no/en/airport/trondheim-airport/,https://en.wikipedia.org/wiki/Trondheim_Airport%2C_V%C3%A6rnes,
2602,ENZV,large_airport,Stavanger Airport Sola,58.87670135,5.63778019,29,EU,NO,NO-11,Stavanger,yes,ENZV,SVG,,http://www.avinor.no/en/airport/stavanger/,"https://en.wikipedia.org/wiki/Stavanger_Airport,_Sola","Sola Air Station, Stavanger lufthavn, Sola"
2608,EPGD,large_airport,Gdańsk Lech Wałęsa Airport,54.37760162,18.46619987,489,EU,PL,PL-PM,Gdańsk,yes,EPGD,GDN,,http://www.airport.gdansk.pl/,https://en.wikipedia.org/wiki/Gda%C5%84sk_Lech_Wa%C5%82%C4%99sa_Airport,Gdańsk-Rębiechowo
2609,EPKK,large_airport,Kraków John Paul II International Airport,50.077702,19.7848,791,EU,PL,PL-MA,Kraków,yes,EPKK,KRK,,http://www.krakowairport.pl/en/,https://en.wikipedia.org/wiki/Kraków_John_Paul_II_International_Airport,Krakov
2613,EPKT,large_airport,Katowice International Airport,50.4743,19.08,995,EU,PL,PL-SL,Katowice,yes,EPKT,KTW,,http://katowice.airport.com,https://en.wikipedia.org/wiki/Katowice_International_Airport,"Pyrzowice, Dąbrowa Górnicza, Katowice, Silesia, GOP, Silesia Metropolis, Gliwice, Piekary Śląskie, Bytom, Zabrze, Sosnowiec"
2622,EPMO,large_airport,Modlin Airport,52.451099,20.6518,341,EU,PL,PL-MZ,Warsaw,yes,EPMO,WMI,,http://modlinairport.pl/,https://en.wikipedia.org/wiki/Warsaw_Modlin_Airport,Nowy Dwor Mazowiecki
2625,EPPO,large_airport,Poznań-Ławica Airport,52.42100143,16.82629967,308,EU,PL,PL-WP,Poznań,yes,EPPO,POZ,,http://www.airport-poznan.com.pl/en/,https://en.wikipedia.org/wiki/Pozna%C5%84-%C5%81awica_Airport,
2637,EPWA,large_airport,Warsaw Chopin Airport,52.16569901,20.96710014,362,EU,PL,PL-MZ,Warsaw,yes,EPWA,WAW,,http://www.lotnisko-chopina.pl/?lang=en,https://en.wikipedia.org/wiki/Warsaw_Frederic_Chopin_Airport,Okęcie
2638,EPWR,large_airport,Copernicus Wrocław Airport,51.10269928,16.88579941,404,EU,PL,PL-DS,Wrocław,yes,EPWR,WRO,,http://www.airport.wroclaw.pl/en/index.php,https://en.wikipedia.org/wiki/Copernicus_Airport_Wroc%C5%82aw,"Strachowice, Breslau"
2648,ESGG,large_airport,Gothenburg-Landvetter Airport,57.66279984,12.27980042,506,EU,SE,SE-Q,Gothenburg,yes,ESGG,GOT,,https://www.swedavia.com/landvetter/,https://en.wikipedia.org/wiki/Gothenburg-Landvetter_Airport,Göteborg-Landvetter
2669,ESMS,large_airport,Malmö Sturup Airport,55.53630536,13.37619781,236,EU,SE,SE-M,Malmö,yes,ESMS,MMX,,http://www.swedavia.com/malmo/,https://en.wikipedia.org/wiki/Malm%C3%B6_Airport,
2697,ESPA,large_airport,Luleå Airport,65.54380035,22.12199974,65,EU,SE,SE-BD,Luleå,yes,ESPA,LLA,,https://www.swedavia.com/lulea/,https://en.wikipedia.org/wiki/Lule%C3%A5_Airport,Kallax Air Base
2701,ESSA,large_airport,Stockholm-Arlanda Airport,59.65190125,17.91860008,137,EU,SE,SE-AB,Stockholm,yes,ESSA,ARN,,http://www.swedavia.se/arlanda/,https://en.wikipedia.org/wiki/Stockholm-Arlanda_Airport,
2718,ETAR,large_airport,Ramstein Air Base,49.43690109,7.600279808,776,EU,DE,DE-RP,Ramstein,no,ETAR,RMS,,http://www.ramstein.af.mil/,https://en.wikipedia.org/wiki/Ramstein_Air_Base,Landstuhl Air Base
2758,EVRA,large_airport,Riga International Airport,56.92359924,23.97109985,36,EU,LV,LV-RIX,Riga,yes,EVRA,RIX,,http://www.riga-airport.com/,https://en.wikipedia.org/wiki/Riga_International_Airport,
2766,EYVI,large_airport,Vilnius International Airport,54.634102,25.285801,648,EU,LT,LT-VL,Vilnius,yes,EYVI,VNO,,http://www.vilnius-airport.lt/en/,https://en.wikipedia.org/wiki/Vilnius_International_Airport,
2775,FACT,large_airport,Cape Town International Airport,-33.96480179,18.60169983,151,AF,ZA,ZA-WC,Cape Town,yes,FACT,CPT,,http://www.airports.co.za/home.asp?pid=229,https://en.wikipedia.org/wiki/Cape_Town_International_Airport,"Kaapstad Internasionale Lughawe, CTIA, DF Malan Airport"
2792,FAJS,large_airport,OR Tambo International Airport,-26.1392,28.246,5558,AF,ZA,ZA-GT,Johannesburg,yes,FAOR,JNB,,http://www.acsa.co.za/home.asp?pid=228,https://en.wikipedia.org/wiki/OR_Tambo_International_Airport,Johannesburg International Airport
2878,FIMP,large_airport,Sir Seewoosagur Ramgoolam International Airport,-20.430201,57.683601,186,AF,MU,MU-GP,Port Louis,yes,FIMP,MRU,,http://aml.mru.aero/,https://en.wikipedia.org/wiki/Sir_Seewoosagur_Ramgoolam_International_Airport,Plaisance International Airport
2894,FLLS,large_airport,Kenneth Kaunda International Airport,-15.3308,28.4526,3779,AF,ZM,ZM-09,Lusaka,yes,FLKK,LUN,,http://www.nacl.co.zm/?page_id=336,https://en.wikipedia.org/wiki/Kenneth_Kaunda_International_Airport,
3039,FYWH,large_airport,Hosea Kutako International Airport,-22.4799,17.4709,5640,AF,NA,NA-KH,Windhoek,yes,FYWH,WDH,,http://airports.com.na/,https://en.wikipedia.org/wiki/Windhoek_Hosea_Kutako_International_Airport,J.G. Strijdom Airport
3081,GCLP,large_airport,Gran Canaria Airport,27.93190002,-15.38659954,78,EU,ES,ES-CN,Gran Canaria Island,yes,GCLP,LPA,,http://www.aena.es/csee/Satellite?pagename=subHome&Language=EN_GB&c=Page&SiteName=LPA&cid=1048858940184,https://en.wikipedia.org/wiki/Gran_Canaria_Airport,"Canary Islands, Las Palmas Airport, Gando Airport"
3095,GFLL,large_airport,Lungi International Airport,8.61644,-13.1955,84,AF,SL,SL-N,Freetown,yes,GFLL,FNA,,http://www.freetownairport.com/,https://en.wikipedia.org/wiki/Lungi_International_Airport,
3113,GMMN,large_airport,Mohammed V International Airport,33.36750031,-7.589970112,656,AF,MA,MA-CAS,Casablanca,yes,GMMN,CMN,,http://www.onda.ma/ONDA/Fr/Espaces/EspacePassagers/LeReseauAeroportuaireONDA/Lesaeroports/Fiches+d%E2%80%99identit%C3%A9+par+a%C,https://en.wikipedia.org/wiki/Mohammed_V_International_Airport,"CAS, Casabianca, Nouasseur"
325736,GOBD,large_airport,Blaise Diagne International Airport,14.67,-17.073333,290,AF,SN,SN-DK,Dakar,yes,GOBD,DSS,,http://www.dakaraeroport.com/,https://en.wikipedia.org/wiki/Blaise_Diagne_International_Airport,"dakar,new dakar airport, dakar airport, diass airport"
3125,GOOY,large_airport,Léopold Sédar Senghor International Airport,14.73970032,-17.49020004,85,AF,SN,SN-DK,Dakar,yes,GOOY,DKR,,http://www.aeroportdakar.com/,https://en.wikipedia.org/wiki/Dakar-Yoff-L%C3%A9opold_S%C3%A9dar_Senghor_International_Airport,
3157,HAAB,large_airport,Addis Ababa Bole International Airport,8.977890015,38.79930115,7630,AF,ET,ET-AA,Addis Ababa,yes,HAAB,ADD,,http://www.ethiopianairports.com,https://en.wikipedia.org/wiki/Bole_International_Airport,"Haile Selassie I, Bole International Airport"
3171,HCMH,large_airport,Egal International Airport,9.513207,44.082389,4471,AF,SO,SO-WO,Hargeisa,yes,HCMH,HGA,,http://l.facebook.com/l.php?u=http%3A%2F%2Fwww.somalilandaviation.com%2F&h=AT2r8UIJqOYWDa0S_hV1mbRmYgqrpbW3KArb9oL43ykG2KOE0Obep,https://en.wikipedia.org/wiki/Hargeisa_International_Airport,"Madaarka Caalamiga a ee Cigaal, مطار هرجيسا إيغال الدولية‎)"
3206,HKJK,large_airport,Jomo Kenyatta International Airport,-1.319239974,36.92779922,5330,AF,KE,KE-110,Nairobi,yes,HKJK,NBO,,http://www.kenyaairports.com/jkia/IndexJkia.php,https://en.wikipedia.org/wiki/Jomo_Kenyatta_International_Airport,"Jkia Airport, Embakasi Airport, Nairobi International Airport"
3213,HKMO,large_airport,Mombasa Moi International Airport,-4.034830093,39.59420013,200,AF,KE,KE-300,Mombasa,yes,HKMO,MBA,,http://www.kenyaairports.co.ke/kaa/airports/moi/,https://en.wikipedia.org/wiki/Moi_International_Airport,
3251,HTDA,large_airport,Julius Nyerere International Airport,-6.87811,39.202599,182,AF,TZ,TZ-02,Dar es Salaam,yes,HTDA,DAR,,http://www.tanzaniairports.com/,https://en.wikipedia.org/wiki/Julius_Nyerere_International_Airport,"HTJN, Mwalimu Julius K. Nyerere, Dar es Salaam International Airport"
3263,HUEN,large_airport,Entebbe International Airport,0.042386,32.443501,3782,AF,UG,UG-C,Kampala,yes,HUEN,EBB,,https://entebbe-airport.com/,https://en.wikipedia.org/wiki/Entebbe_International_Airport,
309298,ID-0017,large_airport,Aji Pangeran Tumenggung Pranoto International Airport,-0.374448,117.249392,73,AS,ID,ID-KI,Samarinda,yes,WALS,AAP,,http://www.proyek.dishubprovkaltim.info/?pro=1,https://en.wikipedia.org/wiki/Samarinda_International_Airport,"Sungai Siring Airport, فرودگاه سیرینگ"
16091,KABQ,large_airport,Albuquerque International Sunport,35.040199,-106.609001,5355,NA,US,US-NM,Albuquerque,yes,KABQ,ABQ,ABQ,http://www.abqsunport.com/,https://en.wikipedia.org/wiki/Albuquerque_International_Sunport,
3364,KADW,large_airport,Joint Base Andrews,38.810799,-76.866997,280,NA,US,US-MD,Camp Springs,no,KADW,ADW,ADW,http://www.jba.af.mil/,https://en.wikipedia.org/wiki/Joint_Base_Andrews,Andrews Air Force Base
